,open,high,low,close,volume
2018-03-09,56.26,57.06,55.75,56.15,8607875.0
2018-03-12,56.74,56.79,54.44,55.44,7822090.0
2018-03-13,55.19,55.38,54.44,54.48,6814896.0
2018-03-14,54.44,56.92,54.09,56.56,10639486.0
2018-03-15,56.45,58.94,56.32,58.01,10551264.0
2018-03-16,57.94,58.7,56.98,57.05,5512311.0
2018-03-19,57.07,57.92,56.66,57.22,3897245.0
2018-03-20,56.79,56.85,55.94,56.25,4191901.0
2018-03-21,56.44,56.86,55.85,56.04,3881694.0
2018-03-22,55.92,56.3,53.58,53.75,8773227.0
2018-03-23,51.92,53.46,51.16,53.46,12343583.0
2018-03-26,52.75,54.03,52.37,53.16,8359851.0
2018-03-27,53.79,54.21,51.79,52.33,10827122.0
2018-03-28,52.09,52.19,49.1,49.57,15222146.0
2018-03-29,50.55,54.04,49.67,53.21,17638852.0
2018-03-30,53.33,54.07,52.76,53.27,10472121.0
2018-04-02,53.08,55.05,52.6,54.42,11403749.0
2018-04-03,53.83,56.76,53.51,55.97,14983340.0
2018-04-04,56.51,58.67,56.46,56.99,15301938.0
2018-04-09,56.98,58.2,56.19,57.58,8396567.0
2018-04-10,57.46,57.92,56.53,57.79,6666448.0
2018-04-11,58.16,59.51,56.65,57.41,8895190.0
2018-04-12,57.35,58.9,56.79,58.09,6831936.0
2018-04-13,58.09,58.43,56.14,56.71,8243850.0
2018-04-16,56.32,57.73,55.08,57.61,9677429.0
2018-04-17,56.63,57.68,56.01,56.1,4789489.0
2018-04-18,56.33,56.88,53.61,54.86,8940065.0
2018-04-19,55.01,56.96,54.12,56.96,8909485.0
2018-04-20,57.14,58.2,56.09,56.78,9418547.0
2018-04-23,56.51,57.12,55.39,55.71,5188032.0
2018-04-24,55.98,59.31,55.8,58.83,12418426.0
2018-04-25,58.26,59.32,58.02,58.94,6866823.0
2018-04-26,58.57,58.57,55.75,56.44,16804764.0
2018-04-27,56.57,57.12,54.04,56.54,10862414.0
2018-05-02,56.0,56.23,54.54,55.86,9349515.0
